condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940647165828,PAM07,right,46.6
odor_b_dl2d_left,pam_nonzero,720575940648330105,PAM06,right,20.8
odor_b_dl2d_left,pam_nonzero,720575940649649785,PAM01,right,3.6
odor_b_dl2d_left,pam_nonzero,720575940650745977,PAM10,right,34.6
odor_b_dl2d_left,pam_nonzero,720575940654661281,PAM01,right,12.6
odor_b_dl2d_left,pam_nonzero,720575940660271745,PAM10,left,0.2
odor_b_dl2d_left,ppl1_nonzero,720575940609180611,PPL106,left,147.4
odor_b_dl2d_left,ppl1_nonzero,720575940615953202,PPL107,left,43.8
odor_b_dl2d_left,ppl1_nonzero,720575940617691170,PPL101,right,182.0
odor_b_dl2d_left,ppl1_nonzero,720575940618943389,PPL106,right,153.2
odor_b_dl2d_left,ppl1_nonzero,720575940619245016,PPL107,right,70.4
odor_b_dl2d_left,ppl1_nonzero,720575940621040737,PPL101,left,191.0
odor_b_dl2d_left,ppl1_nonzero,720575940623082665,PPL105,right,99.6
odor_b_dl2d_left,ppl1_nonzero,720575940624206728,PPL102,left,93.6
odor_b_dl2d_left,ppl1_nonzero,720575940627549205,PPL104,left,28.6
odor_b_dl2d_left,ppl1_nonzero,720575940627594568,PPL103,left,139.4
odor_b_dl2d_left,ppl1_nonzero,720575940631745367,PPL102,right,101.4
odor_b_dl2d_left,ppl1_nonzero,720575940631758393,PPL103,right,128.0
odor_b_dl2d_left,ppl1_nonzero,720575940632107335,PPL104,right,5.4
odor_b_dl2d_left,ppl1_nonzero,720575940647147908,PPL105,left,112.8
odor_b_dl2d_left,apl_nonzero,720575940613583001,APL,right,308.0
odor_b_dl2d_left,apl_nonzero,720575940624547622,APL,left,332.2
