condition,root_id,side,rate_hz
baseline,720575940612352423,right,0.0
baseline,720575940612356904,left,0.0
baseline,720575940612362663,right,0.0
baseline,720575940612372650,right,0.0
baseline,720575940612384665,right,0.0
baseline,720575940612421290,right,0.0
baseline,720575940612429994,left,0.0
baseline,720575940612432602,left,0.0
baseline,720575940612435198,right,0.0
baseline,720575940612435454,right,0.0
baseline,720575940612436264,left,0.0
baseline,720575940612450730,right,0.0
baseline,720575940612453603,right,0.0
baseline,720575940612458211,left,0.0
baseline,720575940612473128,left,0.0
baseline,720575940612490723,right,0.0
baseline,720575940612524030,right,0.0
baseline,720575940612563454,right,0.0
baseline,720575940612572670,right,0.0
baseline,720575940612575230,right,0.0
baseline,720575940612576254,right,0.0
baseline,720575940612587286,right,0.0
baseline,720575940612590102,left,0.0
baseline,720575940612590503,left,0.0
baseline,720575940612590754,right,0.0
baseline,720575940612602163,left,0.0
baseline,720575940612606673,right,0.0
baseline,720575940612607953,right,0.0
baseline,720575940612613551,left,0.0
baseline,720575940612626966,left,0.0
baseline,720575940612647282,right,0.0
baseline,720575940612650792,left,0.0
baseline,720575940612661782,left,0.0
baseline,720575940612664482,right,0.0
baseline,720575940612668018,right,0.0
baseline,720575940612668834,right,0.0
baseline,720575940612680818,left,0.0
baseline,720575940612686358,right,0.0
baseline,720575940612690338,right,0.0
baseline,720575940612692672,left,0.0
baseline,720575940612706706,right,0.0
baseline,720575940612714671,right,0.0
baseline,720575940612717202,right,0.0
baseline,720575940612723409,left,0.0
baseline,720575940612725906,right,0.0
baseline,720575940612728466,right,0.0
baseline,720575940612729714,right,0.0
baseline,720575940612737233,left,0.0
baseline,720575940612739186,right,0.0
baseline,720575940612740466,right,0.0
baseline,720575940612740886,right,0.0
baseline,720575940612743958,left,0.0
baseline,720575940612747158,right,0.0
baseline,720575940612754582,right,0.0
baseline,720575940612758934,right,0.0
baseline,720575940612763542,right,0.0
baseline,720575940612765846,right,0.0
baseline,720575940612766102,right,0.0
baseline,720575940612767126,right,0.0
baseline,720575940612770418,right,0.0
baseline,720575940612778646,right,0.0
baseline,720575940612789219,left,0.0
baseline,720575940612796786,right,0.0
baseline,720575940612797480,left,0.0
baseline,720575940612812914,left,0.0
baseline,720575940612817583,left,0.0
baseline,720575940612829863,left,0.0
baseline,720575940612846962,right,0.0
baseline,720575940612853354,right,0.0
baseline,720575940612870381,left,0.0
baseline,720575940612872173,right,0.0
baseline,720575940612879341,left,0.0
baseline,720575940612879853,left,0.0
baseline,720575940612896106,right,0.0
baseline,720575940612910486,left,0.0
baseline,720575940612918930,left,0.0
baseline,720575940612924054,left,0.0
baseline,720575940612924522,right,0.0
baseline,720575940612930710,left,0.0
baseline,720575940612961686,left,0.0
baseline,720575940612980990,left,0.0
baseline,720575940612991730,left,0.0
baseline,720575940613017059,right,0.0
baseline,720575940613023911,left,0.0
baseline,720575940613041123,right,0.0
baseline,720575940613042403,right,0.0
baseline,720575940613049315,left,0.0
baseline,720575940613071587,right,0.0
baseline,720575940613113238,left,0.0
baseline,720575940613119459,right,0.0
baseline,720575940613141987,left,0.0
baseline,720575940613152938,left,0.0
baseline,720575940613156067,right,0.0
baseline,720575940613188319,right,0.0
baseline,720575940613197608,left,0.0
baseline,720575940613200918,left,0.0
baseline,720575940613213151,right,0.0
baseline,720575940613218344,left,0.0
baseline,720575940613224446,left,0.0
baseline,720575940613237758,left,0.0
baseline,720575940613248479,right,0.0
baseline,720575940613257664,left,0.0
baseline,720575940613258975,right,0.0
baseline,720575940613272799,right,0.0
baseline,720575940613284063,right,0.0
baseline,720575940613294016,left,0.0
baseline,720575940613301410,left,0.0
baseline,720575940613315309,left,0.0
baseline,720575940613317738,left,0.0
baseline,720575940613337640,left,0.0
baseline,720575940613348246,left,0.0
baseline,720575940613353538,right,0.0
baseline,720575940613358658,right,0.0
baseline,720575940613359266,left,0.0
baseline,720575940613364461,right,0.0
baseline,720575940613383633,right,0.0
baseline,720575940613386050,right,0.0
baseline,720575940613400785,left,0.0
baseline,720575940613403458,right,0.0
baseline,720575940613407981,left,0.0
baseline,720575940613421890,right,0.0
baseline,720575940613434178,right,0.0
baseline,720575940613434530,left,0.0
baseline,720575940613442154,left,0.0
baseline,720575940613452525,left,0.0
baseline,720575940613460034,right,0.0
baseline,720575940613478422,right,0.0
baseline,720575940613501855,right,0.0
baseline,720575940613507946,right,0.0
baseline,720575940613532831,right,0.0
baseline,720575940613532979,left,0.0
baseline,720575940613540767,right,0.0
baseline,720575940613563187,right,0.0
baseline,720575940613593503,right,0.0
baseline,720575940613622312,left,0.0
baseline,720575940613681458,right,0.0
baseline,720575940613684906,right,0.0
baseline,720575940613690031,right,0.0
baseline,720575940613713704,right,0.0
baseline,720575940613727399,right,0.0
baseline,720575940613729576,left,0.0
baseline,720575940613735948,right,0.0
baseline,720575940613737647,right,0.0
baseline,720575940613738415,right,0.0
baseline,720575940613741864,left,0.0
baseline,720575940613743023,left,0.0
baseline,720575940613752999,left,0.0
baseline,720575940613757224,left,0.0
baseline,720575940613764364,right,0.0
baseline,720575940613773566,right,0.0
baseline,720575940613773890,right,0.0
baseline,720575940613774334,right,0.0
baseline,720575940613776179,left,0.0
baseline,720575940613776543,right,0.0
baseline,720575940613782796,right,0.0
baseline,720575940613783106,left,0.0
baseline,720575940613784386,left,0.0
baseline,720575940613784574,left,0.0
baseline,720575940613793602,left,0.0
baseline,720575940613796527,left,0.0
baseline,720575940613797295,right,0.0
baseline,720575940613799436,right,0.0
baseline,720575940613824012,right,0.0
baseline,720575940613863330,left,0.0
baseline,720575940613863903,left,0.0
baseline,720575940613864498,right,0.0
baseline,720575940613867682,right,0.0
baseline,720575940613876447,left,0.0
baseline,720575940613897890,left,0.0
baseline,720575940613909555,left,0.0
baseline,720575940613920159,left,0.0
baseline,720575940613929670,right,0.0
baseline,720575940613939090,left,0.0
baseline,720575940613941042,right,0.0
baseline,720575940613954769,right,0.0
baseline,720575940613955039,left,0.0
baseline,720575940613961403,left,0.0
baseline,720575940613975455,left,0.0
baseline,720575940613977041,right,0.0
baseline,720575940613978892,left,0.0
baseline,720575940613987635,right,0.0
baseline,720575940613987730,right,0.0
baseline,720575940614008785,right,0.0
baseline,720575940614010419,right,0.0
baseline,720575940614027059,right,0.0
baseline,720575940614027074,left,0.0
baseline,720575940614033932,left,0.0
baseline,720575940614036019,right,0.0
baseline,720575940614037811,right,0.0
baseline,720575940614109506,left,0.0
baseline,720575940614115515,right,0.0
baseline,720575940614121147,right,0.0
baseline,720575940614130482,left,0.0
baseline,720575940614131131,right,0.0
baseline,720575940614132667,right,0.0
baseline,720575940614143942,left,0.0
baseline,720575940614148283,right,0.0
baseline,720575940614176927,left,0.0
baseline,720575940614180714,left,0.0
baseline,720575940614183218,left,0.0
baseline,720575940614183786,left,0.0
baseline,720575940614184204,left,0.0
baseline,720575940614186602,right,0.0
