condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,mbons_nonzero,720575940610647416,MBON10,right,21.2
odor_b_dl2d_left,mbons_nonzero,720575940610964946,MBON09,right,84.8
odor_b_dl2d_left,mbons_nonzero,720575940611344078,MBON20,right,52.6
odor_b_dl2d_left,mbons_nonzero,720575940612455338,MBON15,right,14.6
odor_b_dl2d_left,mbons_nonzero,720575940614026193,MBON14,right,74.2
odor_b_dl2d_left,mbons_nonzero,720575940614392999,MBON29,left,0.6
odor_b_dl2d_left,mbons_nonzero,720575940614595218,MBON28,left,1.2
odor_b_dl2d_left,mbons_nonzero,720575940614892182,MBON28,right,3.4
odor_b_dl2d_left,mbons_nonzero,720575940615221811,MBON10,right,22.8
odor_b_dl2d_left,mbons_nonzero,720575940616463477,MBON22,left,79.6
odor_b_dl2d_left,mbons_nonzero,720575940617302365,MBON07,left,82.8
odor_b_dl2d_left,mbons_nonzero,720575940617552340,MBON02,right,77.4
odor_b_dl2d_left,mbons_nonzero,720575940617567206,MBON23,left,2.2
odor_b_dl2d_left,mbons_nonzero,720575940617749538,MBON11,right,100.2
odor_b_dl2d_left,mbons_nonzero,720575940618008859,MBON30,left,22.6
odor_b_dl2d_left,mbons_nonzero,720575940620715224,MBON21,left,11.0
odor_b_dl2d_left,mbons_nonzero,720575940621164720,MBON05,left,93.6
odor_b_dl2d_left,mbons_nonzero,720575940621777391,MBON21,right,12.2
odor_b_dl2d_left,mbons_nonzero,720575940621828443,MBON12,left,62.6
odor_b_dl2d_left,mbons_nonzero,720575940622093436,MBON15,right,7.0
odor_b_dl2d_left,mbons_nonzero,720575940622997453,MBON18,right,51.0
odor_b_dl2d_left,mbons_nonzero,720575940623001480,MBON12,right,55.8
odor_b_dl2d_left,mbons_nonzero,720575940623182847,MBON33,left,33.6
odor_b_dl2d_left,mbons_nonzero,720575940623201833,MBON11,left,102.8
odor_b_dl2d_left,mbons_nonzero,720575940623381956,MBON07,right,71.0
odor_b_dl2d_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,11.6
odor_b_dl2d_left,mbons_nonzero,720575940623905719,MBON12,right,55.2
odor_b_dl2d_left,mbons_nonzero,720575940624117245,MBON01,right,80.4
odor_b_dl2d_left,mbons_nonzero,720575940624185095,MBON02,left,68.2
odor_b_dl2d_left,mbons_nonzero,720575940624280328,MBON33,right,23.8
odor_b_dl2d_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,24.0
odor_b_dl2d_left,mbons_nonzero,720575940624539284,MBON18,left,66.2
odor_b_dl2d_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,15.8
odor_b_dl2d_left,mbons_nonzero,720575940626109315,MBON19,right,0.4
odor_b_dl2d_left,mbons_nonzero,720575940626315010,MBON13,right,24.6
odor_b_dl2d_left,mbons_nonzero,720575940628783363,MBON07,right,71.6
odor_b_dl2d_left,mbons_nonzero,720575940629422086,MBON09,left,96.8
odor_b_dl2d_left,mbons_nonzero,720575940629529722,MBON10,left,13.8
odor_b_dl2d_left,mbons_nonzero,720575940629585602,MBON10,right,25.2
odor_b_dl2d_left,mbons_nonzero,720575940629856515,MBON09,left,96.8
odor_b_dl2d_left,mbons_nonzero,720575940629981440,MBON26,left,0.6
odor_b_dl2d_left,mbons_nonzero,720575940630075703,MBON12,left,65.8
odor_b_dl2d_left,mbons_nonzero,720575940630496374,MBON05,right,105.2
odor_b_dl2d_left,mbons_nonzero,720575940630767959,MBON15,left,16.0
odor_b_dl2d_left,mbons_nonzero,720575940630864847,MBON09,right,85.4
odor_b_dl2d_left,mbons_nonzero,720575940631177803,MBON24,left,61.8
odor_b_dl2d_left,mbons_nonzero,720575940632118343,MBON10,left,24.0
odor_b_dl2d_left,mbons_nonzero,720575940632535756,MBON14,left,79.6
odor_b_dl2d_left,mbons_nonzero,720575940633209647,MBON10,left,19.6
odor_b_dl2d_left,mbons_nonzero,720575940635063135,MBON22,right,57.8
odor_b_dl2d_left,mbons_nonzero,720575940635082347,MBON15-like,left,12.4
odor_b_dl2d_left,mbons_nonzero,720575940635841143,MBON15,left,7.0
odor_b_dl2d_left,mbons_nonzero,720575940636992368,MBON31,right,35.8
odor_b_dl2d_left,mbons_nonzero,720575940637902938,MBON35,left,45.6
odor_b_dl2d_left,mbons_nonzero,720575940637934308,MBON30,right,80.2
odor_b_dl2d_left,mbons_nonzero,720575940638028607,MBON06,right,96.4
odor_b_dl2d_left,mbons_nonzero,720575940638163428,MBON06,left,41.6
odor_b_dl2d_left,mbons_nonzero,720575940638526278,MBON32,right,43.6
odor_b_dl2d_left,mbons_nonzero,720575940639556467,MBON10,right,26.0
