condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,mbons_nonzero,720575940623001480,MBON12,right,131.4
odor_b_dl2d_left,mbons_nonzero,720575940623182847,MBON33,left,79.2
odor_b_dl2d_left,mbons_nonzero,720575940623201833,MBON11,left,243.2
odor_b_dl2d_left,mbons_nonzero,720575940623381956,MBON07,right,157.2
odor_b_dl2d_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,25.0
odor_b_dl2d_left,mbons_nonzero,720575940623905719,MBON12,right,130.8
odor_b_dl2d_left,mbons_nonzero,720575940624117245,MBON01,right,187.8
odor_b_dl2d_left,mbons_nonzero,720575940624185095,MBON02,left,156.4
odor_b_dl2d_left,mbons_nonzero,720575940624280328,MBON33,right,55.6
odor_b_dl2d_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,54.4
odor_b_dl2d_left,mbons_nonzero,720575940624539284,MBON18,left,145.8
odor_b_dl2d_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,36.4
odor_b_dl2d_left,mbons_nonzero,720575940626109315,MBON19,right,1.8
odor_b_dl2d_left,mbons_nonzero,720575940626315010,MBON13,right,61.8
odor_b_dl2d_left,mbons_nonzero,720575940628783363,MBON07,right,158.2
odor_b_dl2d_left,mbons_nonzero,720575940629422086,MBON09,left,231.6
odor_b_dl2d_left,mbons_nonzero,720575940629529722,MBON10,left,32.8
odor_b_dl2d_left,mbons_nonzero,720575940629585602,MBON10,right,60.6
odor_b_dl2d_left,mbons_nonzero,720575940629856515,MBON09,left,231.6
odor_b_dl2d_left,mbons_nonzero,720575940629981440,MBON26,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940630075703,MBON12,left,155.0
odor_b_dl2d_left,mbons_nonzero,720575940630496374,MBON05,right,248.2
odor_b_dl2d_left,mbons_nonzero,720575940630767959,MBON15,left,37.6
odor_b_dl2d_left,mbons_nonzero,720575940630864847,MBON09,right,203.2
odor_b_dl2d_left,mbons_nonzero,720575940631177803,MBON24,left,137.4
odor_b_dl2d_left,mbons_nonzero,720575940632118343,MBON10,left,57.8
odor_b_dl2d_left,mbons_nonzero,720575940632535756,MBON14,left,186.2
odor_b_dl2d_left,mbons_nonzero,720575940633209647,MBON10,left,46.8
odor_b_dl2d_left,mbons_nonzero,720575940635063135,MBON22,right,112.2
odor_b_dl2d_left,mbons_nonzero,720575940635082347,MBON15-like,left,29.8
odor_b_dl2d_left,mbons_nonzero,720575940635841143,MBON15,left,16.4
odor_b_dl2d_left,mbons_nonzero,720575940636992368,MBON31,right,84.2
odor_b_dl2d_left,mbons_nonzero,720575940637902938,MBON35,left,102.4
odor_b_dl2d_left,mbons_nonzero,720575940637934308,MBON30,right,184.6
odor_b_dl2d_left,mbons_nonzero,720575940638028607,MBON06,right,225.6
odor_b_dl2d_left,mbons_nonzero,720575940638163428,MBON06,left,76.4
odor_b_dl2d_left,mbons_nonzero,720575940638526278,MBON32,right,96.6
odor_b_dl2d_left,mbons_nonzero,720575940639556467,MBON10,right,63.0
odor_b_dl2d_left,mbons_nonzero,720575940639697827,MBON14,right,171.6
odor_b_dl2d_left,mbons_nonzero,720575940642142861,MBON10,left,39.4
odor_b_dl2d_left,mbons_nonzero,720575940643309197,MBON01,left,40.0
odor_b_dl2d_left,mbons_nonzero,720575940643696288,MBON14,left,190.4
odor_b_dl2d_left,mbons_nonzero,720575940643863496,MBON20,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940645304430,MBON13,left,78.0
odor_b_dl2d_left,mbons_nonzero,720575940647328900,MBON10,right,55.4
odor_b_dl2d_left,mbons_nonzero,720575940652390134,MBON07,left,188.6
